Timestamp,Class Period,"Participant ID (4 digits e.g. 7000, 7001)",Trial Number,Male or Female,Hand: Left (L) or Right (R),Hand: D for (Dominant - the one you write with) OR N (Non-Dominant),Distance (cm OR drop),age-range,Time (s)
,8-102,9024,1,f,r,d,22,child,
,8-102,9024,2,f,r,d,14,child,
,8-102,9024,3,f,r,d,25,child,
,8-102,9024,4,f,r,d,8,child,
,8-102,9024,5,f,r,d,17,child,
,8-102,9024,1,f,l,n,16,child,
,8-102,9024,2,f,l,n,11,child,
,8-102,9024,3,f,l,n,21,child,
,8-102,9024,4,f,l,n,14,child,
,8-102,9024,5,f,l,n,15,child,
,8-102,9027,1,f,r,d,18,child,
,8-102,9027,2,f,r,d,19,child,
,8-102,9027,3,f,r,d,16,child,
,8-102,9027,4,f,r,d,20,child,
,8-102,9027,5,f,r,d,19,child,
,8-102,9026,1,f,r,d,5,child,
,8-102,9026,2,f,r,d,17,child,
,8-102,9026,3,f,r,d,10,child,
,8-102,9026,4,f,r,d,24,child,
,8-102,9026,5,f,r,d,10,child,
,8-102,9027,1,f,l,n,16,child,
,8-102,9027,2,f,l,n,22,child,
,8-102,9027,3,f,l,n,2,child,
,8-102,9027,4,f,l,n,30,child,
,8-102,9027,5,f,l,n,11,child,
,8-102,9026,1,f,l,n,9,child,
,8-102,9026,2,f,l,n,11,child,
,8-102,9026,3,f,l,n,10,child,
,8-102,9026,4,f,l,n,5,child,
,8-102,9026,5,f,l,n,27,child,
,8-102,9022,1,m,r,d,11,child,
,8-102,9022,2,m,r,d,7,child,
,8-102,9022,3,m,r,d,11.5,child,
,8-102,9022,4,m,r,d,7,child,
,8-102,9022,5,m,r,d,18,child,
,8-102,9022,1,m,l,n,19,child,
,8-102,9022,2,m,l,n,15.5,child,
,8-102,9022,3,m,l,n,20,child,
,8-102,9022,4,m,l,n,16,child,
,8-102,9022,5,m,l,n,22,child,
,8-102,9023,1,m,r,d,17,child,
,8-102,9023,2,m,r,d,18,child,
,8-102,9023,3,m,r,d,20,child,
,8-102,9023,4,m,r,d,13.5,child,
,8-102,9023,5,m,r,d,15,child,
,8-102,9023,1,m,l,n,14,child,
,8-102,9023,2,m,l,n,17,child,
,8-102,9023,3,m,l,n,13.5,child,
,8-102,9023,4,m,l,n,13.5,child,
,8-102,9023,5,m,l,n,13,child,
,8-102,9021,1,f,r,d,15,child,
,8-102,9021,1,f,l,n,20,child,
,8-102,9020,1,f,l,d,24,child,
,8-102,9020,1,f,r,n,23,child,
,8-102,9021,2,f,r,d,13,child,
,8-102,9021,3,f,r,d,8,child,
,8-102,9021,4,f,r,d,8,child,
,8-102,9021,5,f,r,d,14,child,
,8-102,9021,2,f,l,n,8,child,
,8-102,9021,3,f,l,n,10,child,
,8-102,9021,4,f,l,n,9,child,
,8-102,9021,5,f,l,n,8,child,
,8-102,9020,2,f,r,n,17,child,
,8-102,9020,3,f,r,n,16,child,
,8-102,9020,4,f,r,n,16,child,
,8-102,9020,5,f,r,n,14,child,
,8-102,9020,2,f,l,d,2,child,
,8-102,9020,3,f,l,d,17,child,
,8-102,9020,4,f,l,d,10,child,
,8-102,9020,5,f,l,d,14,child,
,8-102,9028,1,m,r,d,7,child,
,8-102,9028,2,m,r,d,17,child,
,8-102,9028,3,m,r,d,11,child,
,8-102,9028,4,m,r,d,16,child,
,8-102,9028,5,m,r,d,5,child,
,8-102,9028,1,m,l,n,17,child,
,8-102,9028,2,m,l,n,11,child,
,8-102,9028,3,m,l,n,16.5,child,
,8-102,9028,4,m,l,n,19,child,
,8-102,9028,5,m,l,n,21,child,
,8-102,9036,1,m,r,d,10.5,child,
,8-102,9036,2,m,r,d,20,child,
,8-102,9036,3,m,r,d,drop,child,
,8-102,9036,4,m,r,d,9,child,
,8-102,9036,5,m,r,d,drop,child,
,8-102,9036,1,m,l,n,drop,child,
,8-102,9036,2,m,l,n,5,child,
,8-102,9036,3,m,l,n,20,child,
,8-102,9036,4,m,l,n,15,child,
,8-102,9036,5,m,l,n,drop,child,
,7-102,9053,1,f,r,d,24,child,
,7-102,9053,2,f,r,d,18,child,
,7-102,9053,3,f,r,d,14,child,
,7-102,9053,4,f,r,d,17,child,
,7-102,9053,5,f,r,d,14,child,
,7-102,9053,1,f,l,n,24,child,
,7-102,9053,2,f,l,n,10,child,
,7-102,9053,3,f,l,n,drop,child,
,7-102,9053,4,f,l,n,16,child,
,7-102,9053,5,f,l,n,18,child,
,7-102,9052,1,f,r,d,26,child,
,7-102,9052,2,f,r,d,drop,child,
,7-102,9052,3,f,r,d,12,child,
,7-102,9052,4,f,r,d,5,child,
,7-102,9052,5,f,r,d,8,child,
,7-102,9052,1,f,l,n,24,child,
,7-102,9052,2,f,l,n,18,child,
,7-102,9052,3,f,l,n,13,child,
,7-102,9052,4,f,l,n,17,child,
,7-102,9052,5,f,l,n,18,child,
,7-102,9061,1,m,r,d,18,child,
,7-102,9061,2,m,r,d,13.5,child,
,7-102,9061,3,m,r,d,17,child,
,7-102,9061,4,m,r,d,7,child,
,7-102,9061,5,m,r,d,15,child,
,7-102,9061,1,m,l,n,15,child,
,7-102,9061,2,m,l,n,12,child,
,7-102,9061,3,m,l,n,16,child,
,7-102,9061,4,m,l,n,7,child,
,7-102,9061,5,m,l,n,11,child,
,7-102,9060,1,m,r,d,15,child,
,7-102,9060,2,m,r,d,0,child,
,7-102,9060,3,m,r,d,2.5,child,
,7-102,9060,4,m,r,d,2.5,child,
,7-102,9060,5,m,r,d,2.5,child,
,7-102,9060,1,m,l,n,4,child,
,7-102,9060,2,m,l,n,1.5,child,
,7-102,9060,3,m,l,n,1,child,
,7-102,9060,4,m,l,n,13,child,
,7-102,9060,5,m,l,n,1.5,child,
,7-102,9062,1,f,r,d,16,child,
,7-102,9062,2,f,r,d,23,child,
,7-102,9062,3,f,r,d,13,child,
,7-102,9062,4,f,r,d,17,child,
,7-102,9062,5,f,r,d,16,child,
,7-102,9062,1,f,l,n,15,child,
,7-102,9062,2,f,l,n,15,child,
,7-102,9062,3,f,l,n,15,child,
,7-102,9062,4,f,l,n,15,child,
,7-102,9062,5,f,l,n,22,child,
,7-102,9063,1,f,r,d,18,child,
,7-102,9063,2,f,r,d,15,child,
,7-102,9063,3,f,r,d,18,child,
,7-102,9063,4,f,r,d,13,child,
,7-102,9063,5,f,r,d,8,child,
,7-102,9063,1,f,l,n,30,child,
,7-102,9063,2,f,l,n,12,child,
,7-102,9063,3,f,l,n,25,child,
,7-102,9063,4,f,l,n,24,child,
,7-102,9063,5,f,l,n,19,child,
,7-102,9064,1,f,r,d,29,child,
,7-102,9064,2,f,r,d,17,child,
,7-102,9064,3,f,r,d,11,child,
,7-102,9064,4,f,r,d,12,child,
,7-102,9064,5,f,r,d,12,child,
,7-102,9064,1,f,l,n,20,child,
,7-102,9064,2,f,l,n,20,child,
,7-102,9064,3,f,l,n,9,child,
,7-102,9064,4,f,l,n,17,child,
,7-102,9064,5,f,l,n,14,child,
,7-102,9065,1,f,r,d,4,child,
,7-102,9065,2,f,r,d,13,child,
,7-102,9065,3,f,r,d,12,child,
,7-102,9065,4,f,r,d,11,child,
,7-102,9065,5,f,r,d,7,child,
,7-102,9065,1,f,l,n,1,child,
,7-102,9065,2,f,l,n,5,child,
,7-102,9065,3,f,l,n,5,child,
,7-102,9065,4,f,l,n,3,child,
,7-102,9065,5,f,l,n,2,child,
,7-102,9057,1,m,r,d,7,child,
,7-102,9057,2,m,r,d,29,child,
,7-102,9057,3,m,r,d,25,child,
,7-102,9057,4,m,r,d,16,child,
,7-102,9057,5,m,r,d,15,child,
,7-102,9057,1,m,l,n,25,child,
,7-102,9057,2,m,l,n,18,child,
,7-102,9057,3,m,l,n,15,child,
,7-102,9057,4,m,l,n,23,child,
,7-102,9057,5,m,l,n,19,child,
,7-102,9056,1,m,r,d,16,child,
,7-102,9056,2,m,r,d,13,child,
,7-102,9056,3,m,r,d,13,child,
,7-102,9056,4,m,r,d,13,child,
,7-102,9056,5,m,r,d,12,child,
,7-102,9056,1,m,l,n,11,child,
,7-102,9056,2,m,l,n,13,child,
,7-102,9056,3,m,l,n,8,child,
,7-102,9056,4,m,l,n,16,child,
,7-102,9056,5,m,l,n,20,child,
,7-102,9059,1,m,r,d,9,child,
,7-102,9059,2,m,r,d,8,child,
,7-102,9059,3,m,r,d,13,child,
,7-102,9059,4,m,r,d,5,child,
,7-102,9059,5,m,r,d,8,child,
,7-102,9059,1,m,l,n,10,child,
,7-102,9059,2,m,l,n,15,child,
,7-102,9059,3,m,l,n,2,child,
,7-102,9059,4,m,l,n,15,child,
,7-102,9059,5,m,l,n,15,child,
,7-102,9058,1,m,r,d,7,child,
,7-102,9058,2,m,r,d,18,child,
,7-102,9058,3,m,r,d,11,child,
,7-102,9058,4,m,r,d,17,child,
,7-102,9058,5,m,r,d,10,child,
,7-102,9058,1,m,l,n,20,child,
,7-102,9058,2,m,l,n,6,child,
,7-102,9058,3,m,l,n,6,child,
,7-102,9058,4,m,l,n,8,child,
,7-102,9058,5,m,l,n,16,child,
,7-102,9051,1,f,l,n,30,child,
,7-102,9051,2,f,l,n,14,child,
,7-102,9051,3,f,l,n,30,child,
,7-102,9051,4,f,l,n,15,child,
,7-102,9051,5,f,l,n,3,child,
,7-102,9051,1,f,r,d,13,child,
,7-102,9051,2,f,r,d,9,child,
,7-102,9051,3,f,r,d,3.5,child,
,7-102,9051,4,f,r,d,4.5,child,
,7-102,9051,5,f,r,d,1.5,child,
,7-102,9050,1,f,r,d,8.5,child,
